conv_id	clause_no	context?	emotion?	chatbot?	clause	prob
4485	0	True	True	False	I am a bit afraid to call AC on my neighbor as I don't want him to retaliate. 	[]
4485	1	True	False	False	But I have too for the dogs sake.	[]
4485	2	False	True	False	I am a bit afraid to call AC on my neighbor as I don't want him to retaliate.	[0.8107744, 0.8730529, 0.8084835]
4485	3	False	True	True	why any strange things do you found on your neighbour	[0.8655459, 0.7935398, 0.8577245, 0.864859]
4485	4	False	False	False	He hasn't let his dogs out in a week. 	[]
4485	5	False	True	False	I think he is starving them or hurting them, 	[0.859842, 0.86203986, 0.80306065, 0.5, 0.5, 0.5]
4485	6	False	True	False	I have to help them.	[0.7981537, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]
4485	7	False	False	True	yeah you taken good descision because the dog bite most dangerous one you must help them	[]
4486	0	True	True	False	I was impressed just today. 	[]
4486	1	True	True	False	The car that I bought recently was able to drive really fast for me this morning! 	[]
4486	2	False	False	False	Hi friend, 	[]
4486	3	False	False	False	Do you like driving in fast cars?	[]
4486	4	False	False	True	yeah its great exprerience i loves to drive fast	[]
4486	5	False	False	False	Yea me too, 	[]
4486	6	False	False	False	and I just bought a car that was surprising to me!	[]
4486	7	False	False	True	wow amazing feels great 	[]
4486	8	False	False	False	Do you ever watch racing on the tv?	[]
4487	0	True	True	False	I start a new job on Monday! 	[]
4487	1	True	True	False	 I am as ready as I could be to hit the ground running!	[]
4487	2	False	True	False	I start a new job on Monday! 	[0.8571958, 0.6838039, 0.5]
4487	3	False	True	False	I am as ready as I could be to hit the ground running!	[0.84724015, 0.4345524, 0.5, 0.5]
4487	4	False	False	True	wow congrats	[]
4487	5	False	False	False	Thanks! 	[]
4487	6	False	False	False	 It took a lot of planning and work to get to this point!	[]
4487	7	False	False	True	yeah all the best fo 	[]
4488	0	True	True	False	When our home was broken into , It was so scary.	[]
4488	1	False	True	False	Our home was broken into.	[0.75266296, 0.8564069]
4488	2	False	False	True	oh its really bad to hear	[]
4488	3	False	False	False	Yes, 	[]
4488	4	False	True	False	it was a very scary experience. 	[0.8619933, 0.86119556, 0.7781728, 0.5, 0.5]
4488	5	False	False	True	why what happaned?	[]
4488	6	False	True	False	Our home was broken into while we were at work.	[0.7776531, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]
4489	0	True	True	False	When I fell in front of a large group.	[]
4489	1	False	True	False	I am so clumsy!	[0.8073361, 0.85527176]
4489	2	False	False	True	Oh that's okay! 	[]
4489	3	False	False	True	I am as well. 	[]
4489	4	False	True	True	Sometimes I trip for no reason whatsoever.	[0.867861, 0.835981, 0.79808867, 0.5, 0.5]
4489	5	False	False	False	Me too, 	[]
4489	6	False	True	False	I fell in front of a large group the other day on nothing but air.	[0.8476923, 0.72504723, 0.5, 0.5, 0.5, 0.5, 0.5]
4489	7	False	False	True	That happens to me often. 	[]
4489	8	False	True	True	I also trip walking up the stairs quite often. 	[0.6178529, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]
4489	9	False	True	True	It can be quite embarrassing!	[0.6653743, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]
4490	0	True	True	False	At my job , I care for young children and it means a lot to me. 	[]
4490	1	False	False	False	I love my job!	[]
4490	2	False	False	True	Me too, 	[]
4490	3	False	False	True	its the only place I get to get away from my wife's constant nagging.	[]
4490	4	False	False	False	Oh no I hate to hear that! 	[]
4490	5	False	False	True	It's no problem. 	[]
