conv_id	clause_no	context?	emotion?	chatbot?	clause	prob
1380	0	True	True	False	I will always be married to my wife.	[]
1380	1	False	True	False	My wife and I will always be married to each other.	[0.74287874, 0.5]
1380	2	False	False	True	Oh, 	[]
1380	3	False	False	True	that does not seem very nice.	[]
1380	4	False	False	False	That is great news.	[]
1380	5	False	False	True	Yes, 	[]
1380	6	False	False	True	she and I have a bond that will be unbreakable.	[]
1381	0	True	False	False	I thought just maybe I would of got the promotion.	[]
1381	1	False	False	False	I thought I may of got the promotion, 	[]
1381	2	False	False	False	but I didn't.	[]
1381	3	False	False	True	Why did you think that?	[]
1381	4	False	False	False	I was the most qualified for the job.	[]
1381	5	False	False	True	What makes you qualified?	[]
1382	0	True	True	False	I forgot about my best friend's birthday last week and I felt like I betrayed him by forgetting about our long friendship.	[]
1382	1	False	False	False	Last week, 	[]
1382	2	False	False	False	I can't believe I forgot it was my best friend's birthday. 	[]
1382	3	False	True	False	I felt like I betrayed our friendship.	[0.80254006, 0.78546995, 0.8433423, 0.83259445]
1382	4	False	False	True	Oh no! 	[]
1382	5	False	False	True	I did that last month. 	[]
1382	6	False	True	True	I still feel bad. 	[0.6947155, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]
1382	7	False	False	True	Get them a gift to say sorry.	[]
1382	8	False	False	False	Definitely. 	[]
1382	9	False	True	False	I tried to make it up by shooting him a text message but I still feel bad.	[0.8557385, 0.83731514, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]
1382	10	False	False	True	Give him a call too. 	[]
1382	11	False	True	True	It is a bit more personal.	[0.8225231, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]
1383	0	True	True	False	I had to wait in line for food at the mall but all the people sitting and eating made me nervous.	[]
1383	1	False	False	False	Last week, 	[]
1383	2	False	False	False	I had to wait in line forever for food at the mall. 	[]
1383	3	False	True	False	There was a lot of people around me and it made me very nervous!	[0.82745355, 0.82748276, 0.7742624, 0.8418217]
1383	4	False	False	True	I always try and order my food and get it delivered.	[]
1383	5	False	False	False	I wish I could order food online at the mall while shopping but unfortunately, 	[]
1383	6	False	True	False	I don't think that's an option?	[0.8663241, 0.85245377, 0.7080913, 0.5, 0.5, 0.5, 0.5]
1383	7	False	False	True	There a bunch of apps that let you buy food online, 	[]
1383	8	False	False	True	you should check it out!	[]
1384	0	True	True	False	We stock our celler every year with new food and water.	[]
1384	1	False	True	False	Once a year, 	[0.7771603, 0.5]
1384	2	False	True	False	we make sure our cellar is stocked with food and water.	[0.7889571, 0.5, 0.5]
1384	3	False	True	True	That is a great idea for when emergencies happen!	[0.83231425, 0.8170782, 0.5, 0.5]
1384	4	False	False	False	It truly is, 	[]
