conv_id	clause_no	context?	emotion?	chatbot?	clause	prob
695	0	True	True	False	I am so sad. 	[]
695	1	True	False	False	 My husband needs a lung transplant.	[]
695	2	False	True	False	I am so sad lately. 	[0.7918528, 0.5, 0.5]
695	3	False	False	False	 My husband needs a lung transplant and he is only 40 years old.	[]
695	4	False	False	True	Oh wow. 	[]
695	5	False	False	True	I'm so sorry to hear that. 	[]
695	6	False	True	True	Was this an all the sudden thing or has he been in poor health?	[0.8363951, 0.80161303, 0.5, 0.5, 0.5, 0.5, 0.5]
695	7	False	False	False	It has been happening gradually over a number of years he has a genetic form of COPD and has never smoked or done anything to deserve this.	[]
695	8	False	False	True	It's so hard how that usually is the case. 	[]
695	9	False	False	True	Never deserved. 	[]
695	10	False	False	True	Is his surgery scheduled soon?	[]
695	11	False	False	False	He just got put on the list for the transplant so now he has to wait until its his time.	[]
695	12	False	True	True	I'm really sorry. 	[0.7819301, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]
695	13	False	True	True	I can't imagine what you're going through. 	[0.8158246, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]
695	14	False	False	True	I'll be praying that he will get his lungs ASAP and that in the meantime, 	[]
695	15	False	False	True	you'll feel at peace.	[]
695	16	False	False	False	Thank you so much! 	[]
695	17	False	False	False	I appreciate your prayers!	[]
695	18	False	False	True	You're welcome. 	[]
695	19	False	False	True	:)	[]
696	0	True	True	False	My cat dissapeared after 14 years one day. 	[]
696	1	True	True	False	He never came back.	[]
696	2	False	False	False	My first cat disaapeared 2 years ago after 14 years with him	[]
696	3	False	True	True	That's so sad. 	[0.7969992, 0.5, 0.5, 0.5]
696	4	False	True	True	I just had a cat disappear, 	[0.7172574, 0.5, 0.5, 0.5, 0.5]
696	5	False	True	True	it's quite sad.	[0.75919956, 0.5, 0.5, 0.5, 0.5, 0.5]
696	6	False	True	False	Yea they like to leave when they are dying to try and heal but it is very depressing when they are just gone	[0.79968274, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]
696	7	False	False	True	We thought it might've been hunted by coyotes since we live close to the woods. 	[]
696	8	False	False	True	Pretty crazy.	[]
697	0	True	True	False	One time in welding school I got 2 of my teachers a gig with a major contractor on FT benning building ADA code railing for th new hospital and centers and stuff ,	[]
697	1	False	True	False	One time in welding school I got 2 of my teachers a gig with a major contractor on FT Benning building ADA code railing for th new hospital and centers and stuff,	[0.82273316, 0.841038]
697	2	False	False	True	Wow. 	[]
697	3	False	True	True	They must have been very grateful to you. 	[0.824217, 0.8229471, 0.5, 0.5]
697	4	False	True	False	It was pretty awesome, 	[0.8702782, 0.85009515, 0.5, 0.5, 0.5]
697	5	False	False	False	I showed up in school after they had gotten paid and he was getting out his wallet. 	[]
697	6	False	False	False	He said he had something for me but it felt better telling him I didn't need it they hired me on full time.	[]
697	7	False	False	True	Getting the full-time sounds better taking a one time bonus from him.	[]
697	8	False	True	False	Definitely, 	[0.8008201, 0.85219544, 0.8442517, 0.84477216, 0.8296665, 0.5, 0.5, 0.5, 0.5]
697	9	False	False	False	I got to travel the country spending bunches of money lol, 	[]
697	10	False	False	False	good times	[]
698	0	True	False	False	I spent a long time making cookies and my family ate most of them without asking.	[]
698	1	False	False	False	I made some cookies from scratch and left to run an errand. 	[]
698	2	False	False	False	When I came back my family had eaten most of them without asking.	[]
698	3	False	False	True	Oh my god, 	[]
698	4	False	True	True	fresh cookies that you hand baked?? 	[0.8618078, 0.78779936, 0.5, 0.5, 0.5]
698	5	False	False	True	What did you do?	[]
698	6	False	False	False	I hid the rest of them away so only I get to eat the rest.	[]
698	7	False	False	True	HAHAHAHAHA  that what my niece does, 	[]
698	8	False	False	True	I bring home two candies and she talks me into giving her one then she hides the other when i'm not looking	[]
699	0	True	False	False	I did all my best to be the winner of the music contest. 	[]
699	1	True	True	False	But a very poor performance won it	[]
699	2	False	False	False	i think my performance is way better than the winner's perfromance 	[]
699	3	False	False	True	come on now? 	[]
699	4	False	False	True	you are so full of yourself!Why do you say so?	[]
699	5	False	False	False	I am just saying what I feel. 	[]
699	6	False	False	False	I put all my best into this and yet I lost to a poor performer  	[]
699	7	False	True	True	Sorry about that.	[0.6791067, 0.8407217, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]
